,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96
BAD,12.5174583800455,8.94060518552676,24.4228879372408,6.11039487739026,0.0,7.46719984491165,0.0,0.0,6.59513634399856,0.0,14.3569712018002,7.67164994148631,5.72843058176166,0.0,0.0,0.0,9.33838205606551,0.0,61.4639752008334,18.8920422986342,0.0,21.0070825499043,11.9037037438,0.0,0.0,11.7546444130711,0.0,21.474136708672,0.0,0.0,0.0,9.68425594497575,6.55446383857449,0.0,0.0,29.8270582007158,12.9493012944703,0.0,4.91544291681319,0.0,13.8689270221069,0.0,0.0,8.22981401395961,0.0,0.0,4.3885453868662,0.0,6.20623802874291,6.64989687696256,0.0,0.0,0.0,8.44984361876971,0.0,13.3702357840776,9.04616825514379,0.0,13.9708430352643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02429777461257,0.0,0.0,4.8573667384287,12.5010705302454,0.0,0.0,9.57892361287487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74779728080171,0.0,0.0,5.73720539268382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM5,6.18629019476787,11.7828346117899,12.0701078115762,14.0925696670675,9.5258024078921,13.5314188547647,23.9056043281576,4.02970916239596,19.5564112422735,16.134479470617,11.8256687946927,5.05523846452878,16.0426996886605,5.08288469539457,12.556032883851,8.8028559111259,1.53838315506943,9.3567548971424,25.3135777495716,20.7482048907325,12.0704606266531,6.92131500679716,25.4928470223123,5.39080578063215,4.96606474680592,19.3643254798663,4.67101352967128,11.4971964573532,10.235709983451,17.3708969204468,16.8571251415876,7.97680804109693,16.1965049714775,6.16940341136889,6.43943960731127,8.84455128590671,12.7994251220806,18.1962609397493,17.8146877934194,20.2573125156311,14.4699852019487,20.015741784772,18.1954660749171,10.8460820492616,17.2126100870078,2.962950485881,7.2295867291353,19.6413383863188,9.20160985511535,13.1458609558473,10.2261260426349,11.0888867593982,1.84654254838232,4.17602225140586,13.3459543794355,19.8232315270872,26.8244017010167,11.6613457017337,60.9903836286781,48.0008030139991,13.7706859908804,15.2681505978003,21.9861264571581,19.9212153969154,11.9856091607661,9.94376200241514,1.87548442694974,14.8864302648123,13.2795433288751,12.969932981714,22.4053536746348,16.4751762852308,15.3202270768213,8.8601607675294,9.46805644142956,0.0,15.9686006504069,10.803592976457,22.6062592400002,10.0021637809735,5.48787886909803,29.4420785875806,1.73541843589967,5.6645414893295,19.8844514725883,15.3791228714835,16.4860825197016,16.0672738987237,11.9456733674138,2.22452065486881,8.15639126585707,0.0,22.2720800026465,1.9506138172514,2.146162876523,4.49149188297595
SLC7A2,14.8752693260149,11.5905530602503,24.6257683472614,15.8429669079052,21.8641567221751,16.1340636750273,39.6050423528353,42.2821248280545,12.8248495736807,11.7564328590454,24.8164015814545,28.1788776345346,12.3771782841859,25.3330201623066,22.8020929393842,23.0912106480843,16.1416385090549,14.0252404118294,13.2802618144242,12.245771630386,30.0794962652202,6.80836755127827,14.1459067639794,15.908503131004,13.0267322694203,13.9687703499544,9.18957652289029,19.7192610206515,6.71245041798991,15.1888222029258,32.4270952249256,14.6470542793333,14.1619534930869,6.06872623994997,22.9243351788825,61.8682236439592,30.7769098950675,31.8210134384686,14.8688261893532,26.5689837017158,22.9739375558274,27.8929046807146,22.273736383777,17.7818119365503,24.3122150474321,9.71532910740487,23.7053621782653,4.54607425805007,26.8191133538087,18.6785971228434,6.70616538962923,2.42398435423658,14.5312737317859,23.7343868072312,25.4606828830521,14.4442521943103,17.591106694253,16.685158838789,39.242074478812,28.2219469713139,15.8036259720768,25.4867758676546,31.1433689862669,21.5173141146189,19.9120313708424,29.996575106185,0.0,23.4296028820606,14.737560040593,35.7231823939611,22.0397255122025,21.6084285547467,18.9773135403206,2.32415298767223,3.1045164195048,8.18327592545458,17.7218602342977,8.5018331673553,22.2373525427251,17.8889829361969,0.0,1.48521126257011,36.418101643836,0.0,29.8056554249999,20.170872350606,13.5142080616908,18.594206471924,17.4084955335365,14.5881278619101,21.3954369751818,41.0376362588111,8.52002149626858,5.11675244965529,29.5559614661354,16.2000526966996
AP2B1,29.58851965042,16.1018095762538,9.16354566952404,24.7605087795553,16.27183329462,15.1292732326324,17.1937667391131,27.5339558427055,56.4189705115174,39.1974068277859,25.8565512720967,29.3599614737045,21.9231198592371,13.8920122635695,13.1987862781243,10.525834826115,12.6136469369394,23.7462737399771,17.2961100637643,17.012051269839,28.0412693846234,16.5520415820914,16.0787077852197,7.36679508812365,36.6463767223372,15.877368649684,15.9579109910478,9.66859773254561,0.0,9.89090216110851,27.6432856414361,15.2609679818281,22.1333021674283,14.7538757738075,25.1422959756739,4.02883474945217,16.0334435692968,16.5773765145047,23.238052792969,29.9894733327493,36.4256604446883,25.6429432118076,24.8649785507764,16.6744037198612,12.6656161822822,32.3921134968912,27.6628172639369,18.9464700197105,13.9716021524883,26.9466758383204,6.98724626400673,60.6139859873157,2.52338910526267,22.8269401357986,18.2378878352428,15.0496656907898,20.3649075784705,14.4870810400056,53.4674309176137,0.0,12.9375839914321,3.79357478457154,28.8432941536183,12.8109637218598,18.5627655045033,27.1772570030421,20.5035165821694,16.2744177129906,25.1268008456568,21.2688438362057,12.0284969397124,19.6998549175713,30.2406380258963,20.5833201033566,4.31285133275083,7.10522342940978,35.2506968641886,8.85817730169285,13.5154859513169,8.69809648762759,0.0,40.234014867014,20.1580276682438,10.3211574467498,19.4093273143719,13.5104851662041,21.1209598117173,19.3735603216765,16.324336559028,12.1596573874679,41.3998019310203,4.7508532815767,21.5587393619924,45.3153273986375,1.46641733911892,4.60337958112838
GAS7,16.9345100301923,10.5835520394216,8.26025595976383,8.26657778263965,8.55624548954428,8.83939023225383,16.7904792796581,12.4099082957588,5.57648162155918,18.4028914357928,8.49762117270905,6.48672183171218,19.3745731359385,22.9581320293212,15.8636342957828,12.4251003830704,3.15840723797226,19.2100662917965,31.1823177157496,17.0390010540289,13.6298207282033,5.32872727652027,11.0716230662631,11.0676978878404,14.2739451510569,14.9086133595485,14.3848717650392,27.2360090334741,10.5073110008337,8.91591382530656,10.3826538693849,4.91308192693621,12.19260065338,12.666212785955,9.443297008289,6.05282559288982,8.7593689548338,8.71690979513693,7.48120678388638,34.6580554722877,13.2903684823068,6.42089142402588,18.6782764618555,20.876023271054,20.387700843347,6.08314270051767,14.1007004846121,9.48824211482133,13.6438919990304,17.9929090944191,3.49915758448971,3.79437550895845,7.58215966005065,25.720989328263,34.8729427557843,7.91359104130849,18.3574519363789,9.79427083816536,16.5381583494674,1.69912026510462,15.0195917698553,8.54906491798344,11.7361507659469,15.6380960748855,13.123886022846,12.2491395375493,15.4019980503881,15.2814365332252,12.5833028393398,17.3083113565083,13.9642079818827,10.5702121117124,20.0952839914583,0.909526206314305,11.3391693777754,0.0,3.78284352345968,9.98123631504113,11.6030542475407,15.8680592203355,50.7014804983441,15.1116569701008,7.12586865085455,19.3828271159631,11.6640448581497,27.0637758299645,15.8658140684653,13.5829757772134,9.53761485493312,0.0,13.157285871124,17.8439226966943,11.4315309637346,3.00355901840532,19.8279950825856,5.76334007954142
PSMB1,14.2153051284028,13.5377248731203,43.1442151562724,9.25226458384979,0.0,5.65335874783205,0.0,0.0,24.9656313731151,49.4332988035924,48.9129790146437,5.80814632094797,17.3478004142711,28.0315683626867,22.1939697455959,5.0569597787319,0.0,12.2860732995912,0.0,19.0706904527584,11.0945510440727,39.7607457837284,36.0488049546282,0.0,27.3873187738744,31.1477235378275,64.4003567495104,32.515802746819,0.0,0.0,20.6589448543711,0.0,24.8116671903485,7.08825072795575,4.22771718899463,4.51636661408002,29.4114449613768,0.0,18.6072174244613,0.0,28.0001505363577,17.2476072826227,16.7243432858812,31.1536399287301,18.2549449040607,0.0,16.6126673775875,15.9293958377153,9.39738878820291,5.03458504692024,0.0,0.0,0.0,0.0,0.0,20.2450024106423,6.84878341302553,19.4882063564756,0.0,7.60687707338504,19.7770490294559,38.2737392161493,12.1251148461604,0.0,7.34437327298009,4.56989913302483,0.0,4.56094884709144,14.0837055271867,17.881950153512,22.0648467798836,4.73223148618331,19.5577366938144,40.7190367188585,3.62606416905813,4.779018631111,22.5808035383822,64.5457214423217,6.49328722851071,20.8942686333683,0.0,0.0,19.9388501145919,0.0,0.0,0.0,9.47072825599877,8.68718688892196,0.0,5.11166448352833,0.0,23.9659068133793,4.26486638348551,0.0,0.0,10.3208749651362
MGST1,27.2994999562659,24.6299252530318,26.1648788689652,35.0690673742694,23.2306665173111,18.8566869201882,43.8337057290495,28.0779735186299,16.6544921547104,24.9824198254714,19.7755700102215,10.5670791129505,11.8356767342527,26.9163339224507,26.9191374978841,33.7348155561857,4.28762272896771,37.2545448439218,35.2756954445644,36.142034325792,25.2311564066814,12.0564842053886,28.6936858792081,20.6589589270677,12.4568127326332,5.39702490793693,24.4098126389273,8.62717669653503,0.0,2.01726544882608,56.3789269251548,22.2321359597024,30.0941511728097,17.1947243465249,23.0751531734804,8.21687345271333,17.8366182346414,0.0,24.8256294411522,11.7623104929471,18.0420324827014,43.5826635636165,20.2850099209398,32.118397810394,22.1414815610542,47.4836710124413,24.1794694218306,37.0315632270329,32.769604129185,15.2661611100162,7.12530072648106,20.6038670110109,2.57324639000375,27.1576156736588,20.2889816724321,41.4369484824275,29.0741902307793,31.0239672158732,14.43278220014,13.8396086109328,16.7913525953316,21.2769066395152,17.1576893952119,26.1281671391801,23.3835368401011,29.0999383502936,15.6814697892056,24.8939530621894,17.0821718652328,46.992995887294,18.9567877173408,25.8288247568457,17.7912314440505,3.70411882410261,10.9951623190795,1.44912177846591,15.4059353173156,22.5829943507875,7.87572902554847,8.86995403919765,0.0,64.6995156257106,9.67355824914394,9.20944809878086,29.0294664816405,27.5548524075243,25.8459229179837,18.4392547513247,46.2413162609565,17.0498744386074,16.2376084186648,24.2236047361038,15.5186105824892,9.5139615860778,19.4400817976664,14.0830003556536
MLXIPL,2.2201265745709,3.17145454971541,0.0,8.67003484991282,2.56395429296535,5.29760221603701,0.0,0.0,2.33945854113178,3.86021191072705,0.0,8.16397389411751,4.06403299424669,0.0,8.31893594950187,14.2162009480613,62.9385616788033,11.5129309922649,0.0,2.23382542374989,2.59909731624382,0.0,2.1112695736667,0.0,0.0,6.25449615499233,0.0,0.0,0.0,0.0,4.83972789111747,3.43524593022193,6.97509298210918,3.32109940649391,0.0,48.6698298798306,11.4835963712125,2.61209876667803,13.9490367633095,3.63495701215063,4.91965261760303,2.69370730561418,5.22396932543414,2.91931928054891,2.85103189363523,0.0,12.4538077188245,2.48783087641992,2.20150665692479,11.7944173061807,7.33987364555473,0.0,0.0,11.9894769685222,2.61249608243155,4.74275445881714,16.04450195201,2.28273071340649,0.0,3.56409442939909,7.41300479509075,5.97753933344637,1.89368356475859,0.0,3.44110199456762,6.42348438884986,4.03842628008618,10.6848396667064,8.79829412788732,5.58555618502224,10.3381712015405,2.21721998604975,7.33080024610514,1.90783274844745,1.69894096892942,4.47828287924669,0.0,4.6526127509826,15.2116884605609,17.6214841259361,0.0,24.3833749337835,9.34206559886175,6.09864653804447,0.0,16.5577098578962,11.0934387048459,36.6323245259961,2.85803026360553,0.0,5.01797743031634,0.0,3.99648538365246,2.10010010978842,4.62127034346635,0.0
FYN,14.424381941113,20.6052538886516,11.2573991625442,15.4907703355024,23.3215704883004,20.6514273406165,21.122511118551,22.5502763976367,9.11981611837772,17.5561250102625,9.9264769178281,15.9126437593479,23.763981892549,15.6441191132198,31.0781460574681,15.3940106069615,45.1962066640073,20.5701791258033,28.3309862752728,18.8674001348839,25.3298884989488,4.84146498383977,10.9737017916126,24.5106721878533,25.0111150265257,17.6089680574706,27.7727081596863,17.321871440351,7.15988672975445,10.1257960729092,33.0164003312875,4.46382651572489,21.1483388622309,17.2620090592559,5.14787746774896,17.8728916553419,16.4142135150795,5.09131921261154,27.1884814527063,9.4466700922981,22.3744287513575,12.2508979538154,33.9406453946368,5.69013183207787,31.4898415400771,18.6532745741822,30.3426076943765,8.0818416340318,35.7585162363139,7.66294957890437,11.9219712600682,12.9278075295103,2.58331576597327,3.89484088540242,23.763103618501,3.08141448106929,6.25456296577477,28.1791417239229,17.7090945180506,2.31562740218009,19.2652101407972,9.70916606751594,22.1462089539369,18.0334064116727,23.4750390082786,30.6049431615556,2.62380549704695,16.660910428884,15.7199314695571,21.7739465909179,12.3141554826067,17.2865970576109,25.0051904899784,17.3535292906278,11.03818751234,39.2793931801691,8.59234461992146,25.6942124363568,9.88318444711926,16.537231425703,10.2367342445569,7.92105993159948,7.28355890301217,5.28313463422554,13.2468462496415,13.831338679799,10.0905235878244,29.0893576893115,18.5689053019304,42.013453922639,3.26022956780099,26.7502335933442,7.78966824542704,43.6625860094724,16.5136677736942,3.14180190545774
ANLN,28.44952616516,2.54001225164333,32.3796904166835,20.8314460091468,47.2297269085908,19.0927804417801,15.1886852586088,30.1142337405399,5.62100442891694,12.3665471391555,12.2363806450472,17.4360320692729,14.6469452599535,12.2719707136712,13.3252417155195,32.2595677701141,71.6315414001193,20.7465429370343,8.73091064895405,1.78906676902124,47.8770845454793,8.95212000879154,21.9818561150478,27.8901568530909,32.5440793946371,26.7158119195281,10.0692507226447,9.15115406647001,0.0,9.98566529558619,25.1948409301812,11.0051291776571,20.483244610635,2.65986254861413,7.9322438276546,40.6743436381818,22.0732600907738,41.8405041967888,26.5329264032638,5.82246108233709,24.9542259770134,21.5738534207124,20.9193382418208,39.7473186475934,31.9674085079759,17.884156226156,16.2081273735824,13.9474949583722,21.1581927207443,18.8922552658883,20.5747206606306,57.3700488629945,3.18445661038388,24.0058764152672,48.123898644192,22.7907811568907,10.2800102327249,21.9388191318408,13.8918329449119,39.9626755631725,7.42132777951638,11.9685012851565,19.716420947449,44.4596057607805,34.4496550728607,25.7227855391817,25.8749468245042,18.8264315684333,12.3314414329858,11.1836547866276,17.9396159447889,15.981907534176,20.5492866180118,16.8077780308582,20.4101815503871,3.58664871316913,29.6570234096916,9.31567298568746,7.30980837700607,7.84056387838971,82.0224290854412,23.4343214183967,7.48204355597461,43.9595555100062,27.759987000226,24.6276458643431,5.33082907822685,16.2993127257218,9.15596521574228,13.4270468269926,8.03777821921928,50.9614359118831,16.003889822261,5.04589921588386,5.55175067459843,36.7925802150365
