tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	675	0	live	BRCA2	BRCC2, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, XRCC11	BRCA2 DNA repair associated	breast cancer type 2 susceptibility protein|BRCA1/BRCA2-containing complex, subunit 2|BRCA2 DNA repair associated protein|DNA repair-associated BRCA2|Fanconi anemia group D1 protein|breast and ovarian cancer susceptibility gene, early onset|breast and ovarian cancer susceptibility protein 2|breast cancer 2 tumor suppressor|breast cancer 2, early onset|mutant BRCA2|mutant DNA repair-associated protein 2	13q13.1	13	NC_000013.11	32315508	32400268	plus	28	600185	
9606	Homo sapiens	672	0	live	BRCA1	BRCAI, BRCC1, BROVCA1, FANCS, IRIS, PNCA4, PPP1R53, PSCP, RNF53	BRCA1 DNA repair associated	breast cancer type 1 susceptibility protein|BRCA1/BRCA2-containing complex, subunit 1|Fanconi anemia, complementation group S|RING finger protein 53|breast and ovarian cancer susceptibility protein 1|breast cancer 1, early onset|early onset breast cancer 1|protein phosphatase 1, regulatory subunit 53	17q21.31	17	NC_000017.11	43044295	43170327	minus	31	113705	
9606	Homo sapiens	2099	0	live	ESR1	ER, ESR, ESRA, ESTRR, Era, NR3A1	estrogen receptor 1	estrogen receptor|E2 receptor alpha|ER-alpha|estradiol receptor|estrogen nuclear receptor alpha|estrogen receptor alpha E1-E2-1-2|estrogen receptor alpha E1-N2-E2-1-2|nuclear receptor subfamily 3 group A member 1|oestrogen receptor alpha	6q25.1-q25.2	6	NC_000006.12	151656672	152129619	plus	22	133430	
9606	Homo sapiens	7015	0	live	TERT	CMM9, DKCA2, DKCB4, EST2, PFBMFT1, TCS1, TP2, TRT, hEST2, hTRT	telomerase reverse transcriptase	telomerase reverse transcriptase|telomerase catalytic subunit|telomerase-associated protein 2	5p15.33	5	NC_000005.10	1253167	1295068	minus	16	187270	
9606	Homo sapiens	595	0	live	CCND1	BCL1, D11S287E, PRAD1, U21B31	cyclin D1	G1/S-specific cyclin-D1|B-cell CLL/lymphoma 1|B-cell lymphoma 1 protein|BCL-1 oncogene|PRAD1 oncogene	11q13.3	11	NC_000011.10	69641156	69654474	plus	5	168461	
9606	Homo sapiens	9429	0	live	ABCG2	ABC15, ABCP, BCRP, BCRP1, BMDP, CD338, CDw338, CDw388, EST157481, GOUT1, MRX, MXR, MXR-1, MXR1, UAQTL1	ATP binding cassette subfamily G member 2 (JR blood group)	broad substrate specificity ATP-binding cassette transporter ABCG2|ABC transporter|ATP binding cassette subfamily G member 2 (Junior blood group)|ATP-binding cassette transporter G2|ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)|ATPbinding cassette transporter ABCG2|breast cancer resistance protein|broad substrate specificity ATP-binding cassette transporter ABCG2 isoform 1 (Junior blood group)|mitoxantrone resistance-associated protein|multi drug resistance efflux transport ATP-binding cassette sub-family G (WHITE) member 2|placenta specific MDR protein|placenta-specific ATP-binding cassette transporter|urate exporter	4q22.1	4	NC_000004.12	88090264	88231626	minus	21	603756	
9606	Homo sapiens	2263	0	live	FGFR2	BBDS, BEK, BFR-1, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25	fibroblast growth factor receptor 2	fibroblast growth factor receptor 2|BEK fibroblast growth factor receptor|bacteria-expressed kinase|keratinocyte growth factor receptor|protein tyrosine kinase, receptor like 14	10q26.13	10	NC_000010.11	121478330	121598458	minus	26	176943	
9606	Homo sapiens	1029	0	live	CDKN2A	ARF, CAI2, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16	cyclin dependent kinase inhibitor 2A	cyclin-dependent kinase inhibitor 2A|CDK4 inhibitor p16-INK4|CDKN2A/ARF Intron 2 lncRNA|alternative reading frame|cell cycle negative regulator beta|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)|inhibitor of cdk4 A|multiple tumor suppressor 1|multiple tumour suppressor 1	9p21.3	9	NC_000009.12	21967752	21995324	minus	10	600160	
9606	Homo sapiens	8202	0	live	NCOA3	ACTR, AIB-1, AIB1, CAGH16, CTG26, KAT13B, RAC3, SRC-3, SRC3, TNRC14, TNRC16, TRAM-1, bHLHe42, pCIP	nuclear receptor coactivator 3	nuclear receptor coactivator 3|CBP-interacting protein|amplified in breast cancer 1 protein|class E basic helix-loop-helix protein 42|receptor-associated coactivator 3|steroid receptor coactivator protein 3|thyroid hormone receptor activator molecule 1	20q13.12	20	NC_000020.11	47501887	47656872	plus	23	601937	
9606	Homo sapiens	79068	0	live	FTO	ALKBH9, BMIQ14, GDFD, IFEX9	FTO alpha-ketoglutarate dependent dioxygenase	alpha-ketoglutarate-dependent dioxygenase FTO|AlkB homolog 9|U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO|U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO|fat mass and obesity associated|fat mass and obesity-associated protein|intragenic FTO exon 9 containing transcript|m6A(m)-demethylase FTO|mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO|mRNA N(6)-methyladenosine demethylase FTO|tRNA N1-methyl adenine demethylase FTO	16q12.2	16	NC_000016.10	53703963	54121941	plus	17	610966	
